,HPMSVTypeID,monthID,MOVES3 Default Monthly Adjustment Factor,noOfDays
0,10,1,0.31442242115736,31
1,10,2,0.284347236156463,28
2,10,3,0.699931651353836,31
3,10,4,1.20847570896148,30
4,10,5,1.43267261981964,31
5,10,6,1.52289819717407,30
6,10,7,1.59945309162139,31
7,10,8,1.61859190464019,31
8,10,9,1.35885170102119,30
9,10,10,1.1401230096817,31
10,10,11,0.530416935682296,30
11,10,12,0.289815433323383,31
12,25,1,0.877027183771133,31
13,25,2,0.836551219224929,28
14,25,3,0.980777978897094,31
15,25,4,0.987626373767852,30
16,25,5,1.05003359913825,31
17,25,6,1.05925923585891,30
18,25,7,1.10790118575096,31
19,25,8,1.12115639448165,31
20,25,9,1.01616722345352,30
21,25,10,1.03819200396537,31
22,25,11,0.962738424539566,30
23,25,12,0.962569177150726,31
24,40,1,0.877027183771133,31
25,40,2,0.836551219224929,28
26,40,3,0.980777978897094,31
27,40,4,0.987626373767852,30
28,40,5,1.05003359913825,31
29,40,6,1.05925923585891,30
30,40,7,1.10790118575096,31
31,40,8,1.12115639448165,31
32,40,9,1.01616722345352,30
33,40,10,1.03819200396537,31
34,40,11,0.962738424539566,30
35,40,12,0.962569177150726,31
36,50,1,0.877027183771133,31
37,50,2,0.836551219224929,28
38,50,3,0.980777978897094,31
39,50,4,0.987626373767852,30
40,50,5,1.05003359913825,31
41,50,6,1.05925923585891,30
42,50,7,1.10790118575096,31
43,50,8,1.12115639448165,31
44,50,9,1.01616722345352,30
45,50,10,1.03819200396537,31
46,50,11,0.962738424539566,30
47,50,12,0.962569177150726,31
48,60,1,0.877027183771133,31
49,60,2,0.836551219224929,28
50,60,3,0.980777978897094,31
51,60,4,0.987626373767852,30
52,60,5,1.05003359913825,31
53,60,6,1.05925923585891,30
54,60,7,1.10790118575096,31
55,60,8,1.12115639448165,31
56,60,9,1.01616722345352,30
57,60,10,1.03819200396537,31
58,60,11,0.962738424539566,30
59,60,12,0.962569177150726,31
